,geo_code,geo_level,Religion,TRU,Sex,Total
395,14,state,Religion not stated,Rural,Male,3727
397,14,state,Hindu,Urban,Male,265209
398,14,state,Muslim,Urban,Male,41627
399,14,state,Christian,Urban,Male,54766
400,14,state,Sikh,Urban,Male,451
401,14,state,Buddhist,Urban,Male,1247
402,14,state,Jain,Urban,Male,665
403,14,state,Other religions and persuasions,Urban,Male,46175
404,14,state,Religion not stated,Urban,Male,1562
415,15,state,Hindu,Rural,Male,4799
416,15,state,Muslim,Rural,Male,3615
417,15,state,Christian,Rural,Male,213209
418,15,state,Sikh,Rural,Male,62
419,15,state,Buddhist,Rural,Male,46881
420,15,state,Jain,Rural,Male,140
421,15,state,Other religions and persuasions,Rural,Male,222
422,15,state,Religion not stated,Rural,Male,207
424,15,state,Hindu,Urban,Male,15214
425,15,state,Muslim,Urban,Male,5935
426,15,state,Christian,Urban,Male,263255
427,15,state,Sikh,Urban,Male,154
428,15,state,Buddhist,Urban,Male,1089
429,15,state,Jain,Urban,Male,68
430,15,state,Other religions and persuasions,Urban,Male,180
431,15,state,Religion not stated,Urban,Male,309
442,16,state,Hindu,Rural,Male,1110363
443,16,state,Muslim,Rural,Male,137112
444,16,state,Christian,Rural,Male,77511
445,16,state,Sikh,Rural,Male,543
446,16,state,Buddhist,Rural,Male,59126
447,16,state,Jain,Rural,Male,209
448,16,state,Other religions and persuasions,Rural,Male,630
449,16,state,Religion not stated,Rural,Male,1679
451,16,state,Hindu,Urban,Male,453367
452,16,state,Muslim,Urban,Male,23818
453,16,state,Christian,Urban,Male,3969
454,16,state,Sikh,Urban,Male,239
455,16,state,Buddhist,Urban,Male,4419
456,16,state,Jain,Urban,Male,244
457,16,state,Other religions and persuasions,Urban,Male,161
458,16,state,Religion not stated,Urban,Male,986
469,17,state,Hindu,Rural,Male,100081
470,17,state,Muslim,Rural,Male,58804
471,17,state,Christian,Rural,Male,911129
472,17,state,Sikh,Rural,Male,376
473,17,state,Buddhist,Rural,Male,3397
474,17,state,Jain,Rural,Male,157
475,17,state,Other religions and persuasions,Rural,Male,116026
476,17,state,Religion not stated,Rural,Male,4290
478,17,state,Hindu,Urban,Male,83541
479,17,state,Muslim,Urban,Male,9023
480,17,state,Christian,Urban,Male,189363
481,17,state,Sikh,Urban,Male,1264
482,17,state,Buddhist,Urban,Male,1747
483,17,state,Jain,Urban,Male,185
484,17,state,Other religions and persuasions,Urban,Male,11957
485,17,state,Religion not stated,Urban,Male,492
496,18,state,Hindu,Rural,Male,8006062
497,18,state,Muslim,Rural,Male,5052341
498,18,state,Christian,Rural,Male,555891
499,18,state,Sikh,Rural,Male,5021
500,18,state,Buddhist,Rural,Male,24332
501,18,state,Jain,Rural,Male,1520
502,18,state,Other religions and persuasions,Rural,Male,12897
503,18,state,Religion not stated,Rural,Male,20925
505,18,state,Hindu,Urban,Male,1790743
506,18,state,Muslim,Urban,Male,411052
507,18,state,Christian,Urban,Male,31305
508,18,state,Sikh,Urban,Male,6794
509,18,state,Buddhist,Urban,Male,3757
510,18,state,Jain,Urban,Male,12023
511,18,state,Other religions and persuasions,Urban,Male,802
512,18,state,Religion not stated,Urban,Male,3978
523,19,state,Hindu,Rural,Male,21209432
524,19,state,Muslim,Rural,Male,9784832
525,19,state,Christian,Rural,Male,243900
526,19,state,Sikh,Rural,Male,5261
527,19,state,Buddhist,Rural,Male,92502
528,19,state,Jain,Rural,Male,5780
529,19,state,Other religions and persuasions,Rural,Male,457713
530,19,state,Religion not stated,Rural,Male,45525
532,19,state,Hindu,Urban,Male,11837125
533,19,state,Muslim,Urban,Male,2855260
534,19,state,Christian,Urban,Male,82086
535,19,state,Sikh,Urban,Male,28907
536,19,state,Buddhist,Urban,Male,48886
537,19,state,Jain,Urban,Male,24938
538,19,state,Other religions and persuasions,Urban,Male,12152
539,19,state,Religion not stated,Urban,Male,74728
550,20,state,Hindu,Rural,Male,8445598
551,20,state,Muslim,Rural,Male,1765830
552,20,state,Christian,Rural,Male,592355
553,20,state,Sikh,Rural,Male,2652
554,20,state,Buddhist,Rural,Male,3783
555,20,state,Jain,Rural,Male,1837
556,20,state,Other religions and persuasions,Rural,Male,1936940
557,20,state,Religion not stated,Rural,Male,27491
559,20,state,Hindu,Urban,Male,3118353
560,20,state,Muslim,Urban,Male,701389
561,20,state,Christian,Urban,Male,107547
562,20,state,Sikh,Urban,Male,35537
563,20,state,Buddhist,Urban,Male,1434
564,20,state,Jain,Urban,Male,5926
565,20,state,Other religions and persuasions,Urban,Male,176759
566,20,state,Religion not stated,Urban,Male,6884
577,21,state,Hindu,Rural,Male,16587340
578,21,state,Muslim,Rural,Male,252294
579,21,state,Christian,Rural,Male,479725
580,21,state,Sikh,Rural,Male,2671
581,21,state,Buddhist,Rural,Male,6119
582,21,state,Jain,Rural,Male,1620
583,21,state,Other religions and persuasions,Rural,Male,227641
584,21,state,Religion not stated,Rural,Male,28793
586,21,state,Hindu,Urban,Male,3289674
587,21,state,Muslim,Urban,Male,213698
588,21,state,Christian,Urban,Male,91254
589,21,state,Sikh,Urban,Male,8890
590,21,state,Buddhist,Urban,Male,1097
591,21,state,Jain,Urban,Male,3265
592,21,state,Other religions and persuasions,Urban,Male,7966
593,21,state,Religion not stated,Urban,Male,10089
604,22,state,Hindu,Rural,Male,9279003
605,22,state,Muslim,Rural,Male,79398
606,22,state,Christian,Rural,Male,176500
607,22,state,Sikh,Rural,Male,3088
608,22,state,Buddhist,Rural,Male,12065
609,22,state,Jain,Rural,Male,3209
610,22,state,Other religions and persuasions,Rural,Male,235118
611,22,state,Religion not stated,Rural,Male,9045
613,22,state,Hindu,Urban,Male,2689242
614,22,state,Muslim,Urban,Male,184436
615,22,state,Christian,Urban,Male,65299
616,22,state,Sikh,Urban,Male,33662
617,22,state,Buddhist,Urban,Male,22882
618,22,state,Jain,Urban,Male,28383
619,22,state,Other religions and persuasions,Urban,Male,9044
620,22,state,Religion not stated,Urban,Male,2521
631,23,state,Hindu,Rural,Male,25757448
632,23,state,Muslim,Rural,Male,866891
633,23,state,Christian,Rural,Male,44309
634,23,state,Sikh,Rural,Male,29484
635,23,state,Buddhist,Rural,Male,67210
636,23,state,Jain,Rural,Male,57431
637,23,state,Other religions and persuasions,Rural,Male,292942
638,23,state,Religion not stated,Rural,Male,33673
640,23,state,Hindu,Urban,Male,8467849
641,23,state,Muslim,Urban,Male,1587941
642,23,state,Christian,Urban,Male,60988
643,23,state,Sikh,Urban,Male,50857
644,23,state,Buddhist,Urban,Male,42603
645,23,state,Jain,Urban,Male,234506
646,23,state,Other religions and persuasions,Urban,Male,3672
647,23,state,Religion not stated,Urban,Male,14502
658,24,state,Hindu,Rural,Male,16623861
659,24,state,Muslim,Rural,Male,1044496
660,24,state,Christian,Rural,Male,81319
661,24,state,Sikh,Rural,Male,7088
662,24,state,Buddhist,Rural,Male,3292
663,24,state,Jain,Rural,Male,22357
664,24,state,Other religions and persuasions,Rural,Male,2787
665,24,state,Religion not stated,Rural,Male,13959
667,24,state,Hindu,Urban,Male,11317316
668,24,state,Muslim,Urban,Male,1962725
669,24,state,Christian,Urban,Male,78440
670,24,state,Sikh,Urban,Male,24981
671,24,state,Buddhist,Urban,Male,12928
672,24,state,Jain,Urban,Male,272554
673,24,state,Other religions and persuasions,Urban,Male,5575
674,24,state,Religion not stated,Urban,Male,17582
685,25,state,Hindu,Rural,Male,30784
686,25,state,Muslim,Rural,Male,1485
687,25,state,Christian,Rural,Male,86
688,25,state,Sikh,Rural,Male,2
689,25,state,Buddhist,Rural,Male,1
690,25,state,Jain,Rural,Male,3
691,25,state,Other religions and persuasions,Rural,Male,6
692,25,state,Religion not stated,Rural,Male,28
694,25,state,Hindu,Urban,Male,106184
695,25,state,Muslim,Urban,Male,9862
696,25,state,Christian,Urban,Male,1339
697,25,state,Sikh,Urban,Male,93
698,25,state,Buddhist,Urban,Male,120
699,25,state,Jain,Urban,Male,144
700,25,state,Other religions and persuasions,Urban,Male,36
701,25,state,Religion not stated,Urban,Male,128
712,26,state,Hindu,Rural,Male,94496
713,26,state,Muslim,Rural,Male,2085
714,26,state,Christian,Rural,Male,1409
715,26,state,Sikh,Rural,Male,32
716,26,state,Buddhist,Rural,Male,54
717,26,state,Jain,Rural,Male,35
718,26,state,Other religions and persuasions,Rural,Male,46
719,26,state,Religion not stated,Rural,Male,148
721,26,state,Hindu,Urban,Male,87480
722,26,state,Muslim,Urban,Male,5616
723,26,state,Christian,Urban,Male,1146
724,26,state,Sikh,Urban,Male,100
725,26,state,Buddhist,Urban,Male,302
726,26,state,Jain,Urban,Male,597
727,26,state,Other religions and persuasions,Urban,Male,84
728,26,state,Religion not stated,Urban,Male,130
739,27,state,Hindu,Rural,Male,27674324
740,27,state,Muslim,Rural,Male,1785117
741,27,state,Christian,Rural,Male,58022
742,27,state,Sikh,Rural,Male,13987
743,27,state,Buddhist,Rural,Male,1737963
744,27,state,Jain,Rural,Male,140476
745,27,state,Other religions and persuasions,Rural,Male,47080
746,27,state,Religion not stated,Rural,Male,82065
748,27,state,Hindu,Urban,Male,18861538
749,27,state,Muslim,Urban,Male,5004010
750,27,state,Christian,Urban,Male,473894
751,27,state,Sikh,Urban,Male,104071
752,27,state,Buddhist,Urban,Male,1576943
753,27,state,Jain,Urban,Male,572681
754,27,state,Other religions and persuasions,Urban,Male,42743
755,27,state,Religion not stated,Urban,Male,68142
766,28,state,Hindu,Rural,Male,26461972
767,28,state,Muslim,Rural,Male,1424322
768,28,state,Christian,Rural,Male,244039
769,28,state,Sikh,Rural,Male,4329
770,28,state,Buddhist,Rural,Male,11976
771,28,state,Jain,Rural,Male,2564
772,28,state,Other religions and persuasions,Rural,Male,1836
773,28,state,Religion not stated,Rural,Male,92203
775,28,state,Hindu,Urban,Male,11075112
776,28,state,Muslim,Urban,Male,2661591
777,28,state,Christian,Urban,Male,304714
778,28,state,Sikh,Urban,Male,17205
779,28,state,Buddhist,Urban,Male,6836
780,28,state,Jain,Urban,Male,24909
781,28,state,Other religions and persuasions,Urban,Male,2979
782,28,state,Religion not stated,Urban,Male,105559
793,29,state,Hindu,Rural,Male,17122399
794,29,state,Muslim,Rural,Male,1459151
795,29,state,Christian,Rural,Male,153269
796,29,state,Sikh,Rural,Male,3753
797,29,state,Buddhist,Rural,Male,40316
798,29,state,Jain,Rural,Male,113598
799,29,state,Other religions and persuasions,Rural,Male,2556
800,29,state,Religion not stated,Rural,Male,34312
802,29,state,Hindu,Urban,Male,8895584
803,29,state,Muslim,Urban,Male,2548720
804,29,state,Christian,Urban,Male,404167
805,29,state,Sikh,Urban,Male,12202
806,29,state,Buddhist,Urban,Male,14699
807,29,state,Jain,Urban,Male,111946
808,29,state,Other religions and persuasions,Urban,Male,3148
809,29,state,Religion not stated,Urban,Male,46837
820,30,state,Hindu,Rural,Male,200644
821,30,state,Muslim,Rural,Male,10893
822,30,state,Christian,Rural,Male,62846
823,30,state,Sikh,Rural,Male,220
824,30,state,Buddhist,Rural,Male,152
825,30,state,Jain,Rural,Male,57
826,30,state,Other religions and persuasions,Rural,Male,40
827,30,state,Religion not stated,Rural,Male,584
829,30,state,Hindu,Urban,Male,298943
830,30,state,Muslim,Urban,Male,52921
831,30,state,Christian,Urban,Male,109118
832,30,state,Sikh,Urban,Male,643
833,30,state,Buddhist,Urban,Male,422
834,30,state,Jain,Urban,Male,523
835,30,state,Other religions and persuasions,Urban,Male,103
836,30,state,Religion not stated,Urban,Male,1031
847,31,state,Hindu,Rural,Male,308
848,31,state,Muslim,Rural,Male,6893
849,31,state,Christian,Rural,Male,27
850,31,state,Sikh,Rural,Male,0
851,31,state,Buddhist,Rural,Male,0
852,31,state,Jain,Rural,Male,2
853,31,state,Other religions and persuasions,Rural,Male,0
854,31,state,Religion not stated,Rural,Male,13
856,31,state,Hindu,Urban,Male,1295
857,31,state,Muslim,Urban,Male,24273
858,31,state,Christian,Urban,Male,259
859,31,state,Sikh,Urban,Male,6
860,31,state,Buddhist,Urban,Male,9
861,31,state,Jain,Urban,Male,4
862,31,state,Other religions and persuasions,Urban,Male,6
863,31,state,Religion not stated,Urban,Male,28
874,32,state,Hindu,Rural,Male,4538594
875,32,state,Muslim,Rural,Male,2004022
876,32,state,Christian,Rural,Male,1838436
877,32,state,Sikh,Rural,Male,894
878,32,state,Buddhist,Rural,Male,1612
879,32,state,Jain,Rural,Male,1039
880,32,state,Other religions and persuasions,Rural,Male,1919
881,32,state,Religion not stated,Rural,Male,21538
883,32,state,Hindu,Urban,Male,4264861
884,32,state,Muslim,Urban,Male,2172233
885,32,state,Christian,Urban,Male,1155345
886,32,state,Sikh,Urban,Male,1279
887,32,state,Buddhist,Urban,Male,830
888,32,state,Jain,Urban,Male,1186
889,32,state,Other religions and persuasions,Urban,Male,2195
890,32,state,Religion not stated,Urban,Male,21429
901,33,state,Hindu,Rural,Male,17358731
902,33,state,Muslim,Rural,Male,486373
903,33,state,Christian,Rural,Male,790114
904,33,state,Sikh,Rural,Male,2256
905,33,state,Buddhist,Rural,Male,1716
906,33,state,Jain,Rural,Male,5044
907,33,state,Other religions and persuasions,Rural,Male,1227
908,33,state,Religion not stated,Rural,Male,33604
910,33,state,Hindu,Urban,Male,14356315
911,33,state,Muslim,Urban,Male,1612809
912,33,state,Christian,Urban,Male,1381299
913,33,state,Sikh,Urban,Male,5832
914,33,state,Buddhist,Urban,Male,4260
915,33,state,Jain,Urban,Male,40561
916,33,state,Other religions and persuasions,Urban,Male,2554
917,33,state,Religion not stated,Urban,Male,55280
928,34,state,Hindu,Rural,Male,182944
929,34,state,Muslim,Rural,Male,6362
930,34,state,Christian,Rural,Male,5337
931,34,state,Sikh,Rural,Male,50
932,34,state,Buddhist,Rural,Male,44
933,34,state,Jain,Rural,Male,18
934,34,state,Other religions and persuasions,Rural,Male,22
935,34,state,Religion not stated,Rural,Male,130
937,34,state,Hindu,Urban,Male,353757
938,34,state,Muslim,Urban,Male,30088
939,34,state,Christian,Urban,Male,31820
940,34,state,Sikh,Urban,Male,106
941,34,state,Buddhist,Urban,Male,206
942,34,state,Jain,Urban,Male,684
943,34,state,Other religions and persuasions,Urban,Male,66
944,34,state,Religion not stated,Urban,Male,877
955,35,state,Hindu,Rural,Male,84639
956,35,state,Muslim,Rural,Male,7979
957,35,state,Christian,Rural,Male,32639
958,35,state,Sikh,Rural,Male,355
959,35,state,Buddhist,Rural,Male,149
960,35,state,Jain,Rural,Male,8
961,35,state,Other religions and persuasions,Rural,Male,250
962,35,state,Religion not stated,Rural,Male,268
964,35,state,Hindu,Urban,Male,57638
965,35,state,Muslim,Urban,Male,9322
966,35,state,Christian,Urban,Male,9108
967,35,state,Sikh,Urban,Male,346
968,35,state,Buddhist,Urban,Male,39
969,35,state,Jain,Urban,Male,6
970,35,state,Other religions and persuasions,Urban,Male,67
971,35,state,Religion not stated,Urban,Male,58
1009,1,district,Hindu,Rural,Male,26796
1010,1,district,Muslim,Rural,Male,379261
1011,1,district,Christian,Rural,Male,932
1012,1,district,Sikh,Rural,Male,3777
1013,1,district,Buddhist,Rural,Male,33
1014,1,district,Jain,Rural,Male,23
1015,1,district,Other religions and persuasions,Rural,Male,4
1016,1,district,Religion not stated,Rural,Male,1212
1018,1,district,Hindu,Urban,Male,9261
1019,1,district,Muslim,Urban,Male,51260
1020,1,district,Christian,Urban,Male,283
1021,1,district,Sikh,Urban,Male,1044
1022,1,district,Buddhist,Urban,Male,18
1023,1,district,Jain,Urban,Male,5
1024,1,district,Other religions and persuasions,Urban,Male,5
1025,1,district,Religion not stated,Urban,Male,276
1036,2,district,Hindu,Rural,Male,2151
1037,2,district,Muslim,Rural,Male,337740
1038,2,district,Christian,Rural,Male,497
1039,2,district,Sikh,Rural,Male,2726
1040,2,district,Buddhist,Rural,Male,11
1041,2,district,Jain,Rural,Male,1
1042,2,district,Other religions and persuasions,Rural,Male,1
1043,2,district,Religion not stated,Rural,Male,258
1045,2,district,Hindu,Urban,Male,6968
1046,2,district,Muslim,Urban,Male,46541
1047,2,district,Christian,Urban,Male,468
1048,2,district,Sikh,Urban,Male,595
1049,2,district,Buddhist,Urban,Male,25
1050,2,district,Jain,Urban,Male,3
1051,2,district,Other religions and persuasions,Urban,Male,0
1052,2,district,Religion not stated,Urban,Male,56
1063,3,district,Hindu,Rural,Male,8066
1064,3,district,Muslim,Rural,Male,7578
1065,3,district,Christian,Rural,Male,206
1066,3,district,Sikh,Rural,Male,153
1067,3,district,Buddhist,Rural,Male,32003
1068,3,district,Jain,Rural,Male,34
1069,3,district,Other religions and persuasions,Rural,Male,0
1070,3,district,Religion not stated,Rural,Male,371
1072,3,district,Hindu,Urban,Male,13892
1073,3,district,Muslim,Urban,Male,2915
1074,3,district,Christian,Urban,Male,263
1075,3,district,Sikh,Urban,Male,865
1076,3,district,Buddhist,Urban,Male,12016
1077,3,district,Jain,Urban,Male,15
1078,3,district,Other religions and persuasions,Urban,Male,29
1079,3,district,Religion not stated,Urban,Male,565
1090,4,district,Hindu,Rural,Male,6982
1091,4,district,Muslim,Rural,Male,49116
1092,4,district,Christian,Rural,Male,478
1093,4,district,Sikh,Rural,Male,780
1094,4,district,Buddhist,Rural,Male,10144
1095,4,district,Jain,Rural,Male,15
1096,4,district,Other religions and persuasions,Rural,Male,2
1097,4,district,Religion not stated,Rural,Male,186
1099,4,district,Hindu,Urban,Male,3003
1100,4,district,Muslim,Urban,Male,6646
1101,4,district,Christian,Urban,Male,54
1102,4,district,Sikh,Urban,Male,321
1103,4,district,Buddhist,Urban,Male,44
1104,4,district,Jain,Urban,Male,1
1105,4,district,Other religions and persuasions,Urban,Male,1
1106,4,district,Religion not stated,Urban,Male,12
1117,5,district,Hindu,Rural,Male,15225
